,sentence,aspect,sentiment
1304,the sauce was traditional red sauce that had no flavour because of excess water added and other sauce was store bought mayo ,quality,Neutral
1305,i had to throw the momos away,quality,Negative
1306,to be honest  it is an average place to hang out ,other,Neutral
1307,the cold coffee or drinks made by me tastes better than what is served here ,quality,Negative
1308,minimal efforts have been done to maintain customer satisfaction ,service,Negative
1309,almost all the items tastes average and not worth the money ,price,Negative
1310,almost all the items tastes average and not worth the money ,quality,Neutral
1311,for the first time in my life someone justified to me that burnt noodle tastes as such because the item is a sizzler  ,service,Negative
1312,roti delivered was very bad and was smelly half cooked,quality,Negative
1313,disappointed    with taste have tried starter  roti   biryani ,quality,Negative
1314,taste so so normal but every dish is less in masala and has below normal taste not a good place for hangout,quality,Negative
1315,we ordered four different ice creams 1 chocolate ecstasy 2 chocolate chocolate sundae 3 chocolate banana split 4 the chocolate room brownie sundae and all of them were same,quality,Neutral
1316,place was a complete let down ,environment,Negative
1317,was there for lunch on sunday and was disappointed ,other,Negative
1318,the veg stack in the western section was actually a spicy paneer which was basically spicy filling between 2 slices of paneer and topped with a chilli sauce ,quality,Neutral
1319,2 dishes took 40 mins to come while 1 was served in 12 mins ,service,Negative
1320,staff were lost and seemed to be recovering from a late night on saturday ,service,Negative
1321,the only saving grace were the drinks ,quality,Positive
1322,so unless you want to go and just have a drink and then more drinks  skip the place ,other,Negative
1323,very less quantity,other,Negative
1324,except for service and the starters to some extent nothing was good at this place we tried the buffet and after starters nothing was worth eating and i successfully wasted rs 649  i hope they improve it when i visit the next time ,quality,Negative
1325,except for service and the starters to some extent nothing was good at this place we tried the buffet and after starters nothing was worth eating and i successfully wasted rs 649  i hope they improve it when i visit the next time ,service,Positive
1326,i found this place ok for chill out not much happening as well ,other,Positive
1327,we sat outside in open area which was good  also it was but chiller that day so moonsoon was really awesome ,environment,Positive
1328,as i am complete vegeterain one incident happened that day like we ordered two veg pizzas there and confimed the ordered twice to waiter  first pizza was correct and good but second pizza we told him to get it after some time as he served there was topping on pizza which was looking like carrot but as i had some confusion with that thing i closely looked and saw it was not veg   i told to re confirm in kitchen so it came out to be non veg it was pork or something like that ,quality,Positive
1329,as i am complete vegeterain one incident happened that day like we ordered two veg pizzas there and confimed the ordered twice to waiter  first pizza was correct and good but second pizza we told him to get it after some time as he served there was topping on pizza which was looking like carrot but as i had some confusion with that thing i closely looked and saw it was not veg   i told to re confirm in kitchen so it came out to be non veg it was pork or something like that ,service,Negative
1330,i was very dissapoint with the management and post that no came to feel sorry as well with wrong that giving on our plates ,service,Negative
1331,i was totally disappoint with instance giving low rating and also very bad experience ,other,Negative
1332,for other thing i ordered the food was good ,quality,Positive
1333,more spicy cannot eat,quality,Neutral
1334,had their speciality   makee di roti   sanson ka saag   no where close to what a real saag ,quality,Negative
1335,gazar ka halwa   omg   chef never had gazar ka halwa in life   so pathetic ,quality,Negative
1336,giving 2 rating as starter was good   paneer szechwan ,quality,Positive
1337,good ambience ,environment,Positive
1338,pricing also very decent ,price,Positive
1339,but overall taste of punjab missing,quality,Negative
